ticker,company_name,sector,shares
ASTS,AST SpaceMobile Inc.,Technology,500
CRDO,Credo Technology Group,Technology,300
MGNI,Magnite Inc.,Technology,800
SG,Sweetgreen Inc.,Consumer Discretionary,400
SERV,Serve Robotics Inc.,Technology,1000
FUBO,fuboTV Inc.,Technology,1200
RKLB,Rocket Lab USA Inc.,Industrials,600
IONQ,IonQ Inc.,Technology,700
CVNA,Carvana Co.,Consumer Discretionary,250
UPST,Upstart Holdings Inc.,Financials,350
PLTR,Palantir Technologies,Technology,400
SOFI,SoFi Technologies Inc.,Financials,800
ABNB,Airbnb Inc.,Consumer Discretionary,180
DKNG,DraftKings Inc.,Consumer Discretionary,500
COIN,Coinbase Global Inc.,Financials,120
